200,6407368186,E1,E1,E1,,689735,KWH,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,20181116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,,,2.01811E+13
300,20181117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0.119,0.006,0.006,0,0.006,0.006,0.006,0,0.006,0.075,0.069,0.063,0.063,0.175,0.013,0.044,0.163,0.056,0.056,0.019,0.056,0.119,0.1,0.119,0.144,0.106,0.044,0.006,0.025,0.025,A,,,2.01811E+13
300,20181118,0.006,0.031,0.019,0.006,0.025,0.019,0.006,0.013,0.05,0.006,0.006,0.212,0.519,0.275,0.056,0.013,0.006,0.044,0.006,0.006,0.044,0.006,0.006,0.037,0.019,0.006,0.037,0.019,0.006,0.05,0.013,0.006,0.05,0.006,0.094,0.144,0.006,0.044,0.031,0.031,0.081,0.056,0.081,0.081,0.037,0.044,0.006,0.044,A,,,2.01811E+13
300,20181119,0.013,0.006,0.044,0.006,0.025,0.025,0.006,0.031,0.019,0.006,0.037,0.281,0.194,0.069,0.037,0.037,0.019,0.05,0.025,0.013,0.05,0.006,0.013,0.106,0.113,0.019,0.044,0,0.037,0.025,0.006,0.05,0.006,0.037,0.025,0.013,0.05,0.006,0.044,0.019,0.044,0.056,0.013,0.063,0.013,0.044,0.031,0.019,A,,,2.01811E+13
300,20181120,0.056,0.013,0.044,0.031,0.013,0.063,0.013,0.037,0.031,0.013,0.063,0.013,0.188,0.087,0.069,0.063,0.037,0.006,0.05,0.013,0.013,0.044,0.006,0.037,0.025,0.006,0.05,0.006,0.031,0.025,0.006,0.056,0.006,0.025,0.031,0.006,0.044,0.013,0.013,0.044,0.006,0.05,0.081,0.163,0.081,0.019,0.069,0.019,A,,,2.01811E+13
300,20181121,0.031,0.019,0.006,0.05,0.006,0.019,0.031,0.006,0.031,0.019,0.006,0.037,0.2,0.212,0.056,0,0.05,0,0.006,0.044,0.006,0.006,0.037,0.013,0.006,0.025,0.025,0.006,0.006,0.05,0.006,0,0.05,0.006,0.006,0.044,0.006,0.006,0.037,0.013,0.3,0.45,0.463,0.219,0.113,0.244,0.212,0.113,A,,,2.01811E+13
300,20181122,0.006,0.037,0.013,0.006,0.031,0.019,0,0.025,0.025,0.006,0.006,0.037,0.188,0.15,0.125,0.006,0.013,0.037,0,0.006,0.044,0.006,0.006,0.037,0.006,0.006,0,0.025,0.025,0.006,0.006,0.044,0.006,0.006,0.025,0.169,0.006,0.1,0.188,0.175,0.069,0.037,0.194,0.188,0.2,0.138,0.006,0.044,A,,,2.01811E+13
300,20181123,0.006,0.006,0.044,0.006,0.006,0.044,0.006,0.006,0.031,0.019,0,0.194,0.344,0.1,0.056,0.013,0.006,0.006,0.019,0.025,0.006,0.037,0.013,0.006,0.031,0.019,0,0.019,0.031,0.006,0.212,0.131,0.013,0.019,0.031,0.006,0,0.05,0.013,0.006,0.025,0.019,0.006,0.019,0.025,0.006,0.006,0.037,A,,,2.01811E+13
300,20181124,0.006,0.006,0.025,0.019,0.006,0,0.044,0.006,0,0.019,0.031,0,0.006,0.037,0.006,0.006,0.006,0.037,0.006,0.006,0.013,0.031,0.006,0.006,0.037,0.006,0.006,0.013,0.037,0,0.006,0.044,0.006,0.006,0.056,0.1,0.056,0.175,0.194,0.094,0.025,0.156,0.244,1.238,0.487,0.05,0.144,0.175,A,,,2.01811E+13
300,20181125,0.2,0.087,0.025,0.031,0,0.05,0,0.019,0.031,0.006,0.031,0.013,0.206,0.037,0.006,0.006,0.2,0.263,0.1,0.05,0.063,0.031,0.212,0.275,0.281,0.225,0.119,0.044,0.3,0.356,0.075,0.1,0.044,0.15,0.019,0.081,0.044,0.013,0.069,0.031,0.044,0.056,0.075,0.563,0.206,0.219,0.106,0.063,A,,,2.01811E+13
